,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A001216,1968,1954,1763,637,1294,1076
CORRUBR2A001217,1589,2377,2132,1098,1730,1435
CORRUBR2A001218,33,16,0,2,30,8
CORRUBR2A001220,469,25,96,229,137,90
CORRUBR2A001222,49,49,61,24,32,28
CORRUBR2A001224,112,47,32,50,91,69
CORRUBR2A001225,705,161,363,279,77,296
CORRUBR2A001228,860,201,156,165,90,140
CORRUBR2A001232,75,25,54,41,38,13
CORRUBR2A001233,195,97,38,88,110,65
CORRUBR2A001237,140,136,118,51,60,58
CORRUBR2A001238,143,134,90,98,116,79
